,loss,accuracy,val_loss,val_accuracy
0,0.07415259629487991,0.4692172706127167,0.040375906974077225,0.6473104357719421
1,0.04680708795785904,0.5753213763237,0.03402908146381378,0.6186806559562683
2,0.04170934855937958,0.5735092759132385,0.030406931415200233,0.6274275779724121
3,0.03800375387072563,0.597396969795227,0.02881685644388199,0.6440736651420593
4,0.035625159740448,0.5930776000022888,0.027129901573061943,0.672549307346344
5,0.033979374915361404,0.5828888416290283,0.025601552799344063,0.6861898899078369
6,0.03230252489447594,0.5820910930633545,0.024352500215172768,0.6846100687980652
7,0.03096187487244606,0.581977128982544,0.023395178839564323,0.6853806972503662
8,0.029847677797079086,0.5974995493888855,0.022813204675912857,0.6971331834793091
9,0.02891622856259346,0.6139792799949646,0.022117113694548607,0.7161682844161987
10,0.02818848378956318,0.6229372024536133,0.02104353904724121,0.717979371547699
11,0.027570046484470367,0.6271767616271973,0.02031569927930832,0.7117756009101868
12,0.026965705677866936,0.6294219493865967,0.020280055701732635,0.7036837339401245
13,0.026281611993908882,0.6342542171478271,0.02006334625184536,0.6958615779876709
14,0.025692055001854897,0.6450469493865967,0.019796667620539665,0.6988285779953003
15,0.02516917511820793,0.6514063477516174,0.019378861412405968,0.6994451284408569
16,0.024741141125559807,0.6594638824462891,0.018977323547005653,0.696593701839447
17,0.02428017556667328,0.6692651510238647,0.018620185554027557,0.6967093348503113
18,0.023890644311904907,0.6793398857116699,0.018277348950505257,0.6952835917472839
19,0.02358361892402172,0.6904403567314148,0.01805156283080578,0.6937037706375122
20,0.02324260212481022,0.7009254097938538,0.017884427681565285,0.706265389919281
21,0.023004353046417236,0.6995919942855835,0.017679311335086823,0.7139719724655151
22,0.022782986983656883,0.7016434073448181,0.01752522774040699,0.7132012844085693
23,0.022570185363292694,0.7049257159233093,0.017395004630088806,0.7188655734062195
24,0.022397061809897423,0.7019283175468445,0.017268475145101547,0.7244528532028198
25,0.022227250039577484,0.7037860155105591,0.017184125259518623,0.7283446192741394
26,0.022032879292964935,0.7060995697975159,0.017075130715966225,0.7332382798194885
27,0.02188807539641857,0.7053245902061462,0.01697622425854206,0.7352805137634277
28,0.02173370122909546,0.7034099102020264,0.016871539875864983,0.7444512844085693
29,0.021563811227679253,0.7082193493843079,0.01674736477434635,0.7466861605644226
