,loss,mae,val_loss,val_mae
0,0.07299190759658813,0.07299191504716873,0.0451679602265358,0.0451679602265358
1,0.04615434259176254,0.04615434259176254,0.039139874279499054,0.039139874279499054
2,0.041915591806173325,0.041915591806173325,0.03786583989858627,0.03786583989858627
3,0.03958938643336296,0.03958938643336296,0.03651878610253334,0.03651878982782364
4,0.03780612722039223,0.03780612722039223,0.03485439717769623,0.03485439717769623
5,0.03633623197674751,0.03633623197674751,0.03304153308272362,0.03304153308272362
6,0.035175297409296036,0.035175297409296036,0.03132801875472069,0.03132801875472069
7,0.03412846103310585,0.03412846103310585,0.030032306909561157,0.030032306909561157
8,0.033215805888175964,0.033215802162885666,0.029175225645303726,0.029175225645303726
9,0.03235533460974693,0.03235533460974693,0.028609521687030792,0.028609521687030792
10,0.031476449221372604,0.031476449221372604,0.0281590037047863,0.0281590037047863
11,0.03059430606663227,0.03059430606663227,0.027655210345983505,0.027655210345983505
12,0.029697909951210022,0.029697909951210022,0.026679128408432007,0.026679128408432007
13,0.028926391154527664,0.028926396742463112,0.02612318843603134,0.02612318843603134
14,0.02812129631638527,0.02812129631638527,0.02543209120631218,0.02543209120631218
15,0.02736656926572323,0.02736656926572323,0.02468685433268547,0.02468685433268547
16,0.026682531461119652,0.026682531461119652,0.023502586409449577,0.023502586409449577
17,0.026057077571749687,0.026057077571749687,0.022759946063160896,0.022759946063160896
18,0.025527294725179672,0.025527294725179672,0.02236109972000122,0.02236109972000122
19,0.025078263133764267,0.025078263133764267,0.02213984914124012,0.02213984914124012
20,0.024701669812202454,0.024701669812202454,0.021978847682476044,0.021978847682476044
21,0.024379609152674675,0.024379609152674675,0.021745843812823296,0.021745843812823296
22,0.024079136550426483,0.024079136550426483,0.0213861595839262,0.0213861595839262
23,0.023778036236763,0.023778036236763,0.020987270399928093,0.020987270399928093
24,0.023486558347940445,0.023486558347940445,0.020535845309495926,0.020535845309495926
25,0.023209460079669952,0.023209460079669952,0.02005862630903721,0.02005862630903721
26,0.022946199402213097,0.022946199402213097,0.019538946449756622,0.019538946449756622
27,0.02268662489950657,0.02268662489950657,0.018972359597682953,0.018972359597682953
28,0.022456053644418716,0.022456053644418716,0.01863623596727848,0.01863623596727848
29,0.022245068103075027,0.022245068103075027,0.018438288941979408,0.018438288941979408
